assignment_id,pelatihan_id,judul_assignment,deskripsi_assignment,instruksi_submission,due_days_after_enroll,status_aktif,created_at
ASN000162,PLT000081,Mockup desain kemasan,"Studi kasus terapan: Mockup desain kemasan. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",27,true,2024-01-28 08:00:00
ASN000163,PLT000082,SOP customer service,Tugas proyek: SOP customer service. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",17,true,2024-01-18 08:00:00
ASN000164,PLT000083,SOP produksi harian,Project file-upload: SOP produksi harian. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",13,true,2024-01-14 08:00:00
ASN000165,PLT000084,Pitch deck UMKM,Project file-upload: Pitch deck UMKM. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",15,true,2024-01-16 08:00:00
ASN000166,PLT000084,Video pendek pitching usaha,"Studi kasus terapan: Video pendek pitching usaha. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",22,true,2024-01-23 08:00:00
ASN000167,PLT000085,Template pembukuan sederhana,Project file-upload: Template pembukuan sederhana. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",12,true,2024-01-13 08:00:00
ASN000168,PLT000085,Analisis laba rugi satu bulan,"Studi kasus terapan: Analisis laba rugi satu bulan. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",20,true,2024-01-21 08:00:00
ASN000169,PLT000086,Rencana konten 14 hari,Project file-upload: Rencana konten 14 hari. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",12,true,2024-01-13 08:00:00
ASN000170,PLT000087,Portofolio foto produk,Tugas proyek: Portofolio foto produk. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",19,true,2024-01-20 08:00:00
ASN000171,PLT000087,Katalog digital siap unggah,"Studi kasus terapan: Katalog digital siap unggah. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",17,true,2024-01-18 08:00:00
ASN000172,PLT000088,Checklist legalitas usaha,Tugas proyek: Checklist legalitas usaha. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",19,true,2024-01-20 08:00:00
ASN000173,PLT000088,Draft dokumen administrasi,Tugas proyek: Draft dokumen administrasi. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",17,true,2024-01-18 08:00:00
ASN000174,PLT000089,Dokumen bahan dan pemasok,Tugas proyek: Dokumen bahan dan pemasok. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",19,true,2024-01-20 08:00:00
ASN000175,PLT000089,Draft manual halal sederhana,Project file-upload: Draft manual halal sederhana. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",20,true,2024-01-21 08:00:00
ASN000176,PLT000089,Dokumen bahan dan pemasok,Project file-upload: Dokumen bahan dan pemasok. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",28,true,2024-01-29 08:00:00
ASN000177,PLT000090,Perhitungan HPP produk utama,"Studi kasus terapan: Perhitungan HPP produk utama. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",17,true,2024-01-18 08:00:00
ASN000178,PLT000091,Audit toko marketplace,Project file-upload: Audit toko marketplace. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",17,true,2024-01-18 08:00:00
ASN000179,PLT000092,Pitch deck produk ekspor,"Studi kasus terapan: Pitch deck produk ekspor. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",15,true,2024-01-16 08:00:00
ASN000180,PLT000093,Mockup desain kemasan,"Studi kasus terapan: Mockup desain kemasan. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",13,true,2024-01-14 08:00:00
ASN000181,PLT000094,SOP customer service,Tugas proyek: SOP customer service. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",12,true,2024-01-13 08:00:00
ASN000182,PLT000094,Simulasi penanganan komplain,Tugas proyek: Simulasi penanganan komplain. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",18,true,2024-01-19 08:00:00
ASN000183,PLT000094,SOP customer service,Project file-upload: SOP customer service. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",24,true,2024-01-25 08:00:00
ASN000184,PLT000095,SOP produksi harian,Project file-upload: SOP produksi harian. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",15,true,2024-01-16 08:00:00
ASN000185,PLT000096,Pitch deck UMKM,"Studi kasus terapan: Pitch deck UMKM. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",12,true,2024-01-13 08:00:00
ASN000186,PLT000097,Template pembukuan sederhana,"Studi kasus terapan: Template pembukuan sederhana. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",12,true,2024-01-13 08:00:00
ASN000187,PLT000097,Analisis laba rugi satu bulan,Tugas proyek: Analisis laba rugi satu bulan. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",19,true,2024-01-20 08:00:00
ASN000188,PLT000097,Template pembukuan sederhana,"Studi kasus terapan: Template pembukuan sederhana. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",22,true,2024-01-23 08:00:00
ASN000189,PLT000098,Rencana konten 14 hari,Project file-upload: Rencana konten 14 hari. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",15,true,2024-01-16 08:00:00
ASN000190,PLT000098,Laporan evaluasi kampanye digital,Tugas proyek: Laporan evaluasi kampanye digital. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",18,true,2024-01-19 08:00:00
ASN000191,PLT000098,Rencana konten 14 hari,Project file-upload: Rencana konten 14 hari. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",29,true,2024-01-30 08:00:00
ASN000192,PLT000099,Portofolio foto produk,"Studi kasus terapan: Portofolio foto produk. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",18,true,2024-01-19 08:00:00
ASN000193,PLT000099,Katalog digital siap unggah,Tugas proyek: Katalog digital siap unggah. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",19,true,2024-01-20 08:00:00
ASN000194,PLT000099,Portofolio foto produk,Tugas proyek: Portofolio foto produk. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",28,true,2024-01-29 08:00:00
ASN000195,PLT000100,Checklist legalitas usaha,Project file-upload: Checklist legalitas usaha. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",18,true,2024-01-19 08:00:00
ASN000196,PLT000101,Dokumen bahan dan pemasok,"Studi kasus terapan: Dokumen bahan dan pemasok. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",19,true,2024-01-20 08:00:00
ASN000197,PLT000101,Draft manual halal sederhana,Tugas proyek: Draft manual halal sederhana. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",21,true,2024-01-22 08:00:00
ASN000198,PLT000101,Dokumen bahan dan pemasok,Project file-upload: Dokumen bahan dan pemasok. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",24,true,2024-01-25 08:00:00
ASN000199,PLT000102,Perhitungan HPP produk utama,Tugas proyek: Perhitungan HPP produk utama. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",19,true,2024-01-20 08:00:00
ASN000200,PLT000103,Audit toko marketplace,Project file-upload: Audit toko marketplace. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",13,true,2024-01-14 08:00:00
ASN000201,PLT000104,Pitch deck produk ekspor,Project file-upload: Pitch deck produk ekspor. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",15,true,2024-01-16 08:00:00
ASN000202,PLT000105,Mockup desain kemasan,"Studi kasus terapan: Mockup desain kemasan. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",15,true,2024-01-16 08:00:00
ASN000203,PLT000105,Brand guideline sederhana,Project file-upload: Brand guideline sederhana. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",23,true,2024-01-24 08:00:00
ASN000204,PLT000106,SOP customer service,"Studi kasus terapan: SOP customer service. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",14,true,2024-01-15 08:00:00
ASN000205,PLT000106,Simulasi penanganan komplain,Project file-upload: Simulasi penanganan komplain. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",22,true,2024-01-23 08:00:00
ASN000206,PLT000107,SOP produksi harian,Project file-upload: SOP produksi harian. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",15,true,2024-01-16 08:00:00
ASN000207,PLT000107,Laporan perbaikan proses,Project file-upload: Laporan perbaikan proses. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",21,true,2024-01-22 08:00:00
ASN000208,PLT000108,Pitch deck UMKM,"Studi kasus terapan: Pitch deck UMKM. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",13,true,2024-01-14 08:00:00
ASN000209,PLT000109,Template pembukuan sederhana,"Studi kasus terapan: Template pembukuan sederhana. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",16,true,2024-01-17 08:00:00
ASN000210,PLT000109,Analisis laba rugi satu bulan,Tugas proyek: Analisis laba rugi satu bulan. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",19,true,2024-01-20 08:00:00
ASN000211,PLT000110,Rencana konten 14 hari,Project file-upload: Rencana konten 14 hari. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",17,true,2024-01-18 08:00:00
ASN000212,PLT000110,Laporan evaluasi kampanye digital,"Studi kasus terapan: Laporan evaluasi kampanye digital. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",22,true,2024-01-23 08:00:00
ASN000213,PLT000110,Rencana konten 14 hari,Tugas proyek: Rencana konten 14 hari. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",23,true,2024-01-24 08:00:00
ASN000214,PLT000111,Portofolio foto produk,Tugas proyek: Portofolio foto produk. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",15,true,2024-01-16 08:00:00
ASN000215,PLT000112,Checklist legalitas usaha,Tugas proyek: Checklist legalitas usaha. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",18,true,2024-01-19 08:00:00
ASN000216,PLT000112,Draft dokumen administrasi,Tugas proyek: Draft dokumen administrasi. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",19,true,2024-01-20 08:00:00
ASN000217,PLT000112,Checklist legalitas usaha,Tugas proyek: Checklist legalitas usaha. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",25,true,2024-01-26 08:00:00
ASN000218,PLT000113,Dokumen bahan dan pemasok,Project file-upload: Dokumen bahan dan pemasok. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",19,true,2024-01-20 08:00:00
ASN000219,PLT000114,Perhitungan HPP produk utama,Project file-upload: Perhitungan HPP produk utama. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",13,true,2024-01-14 08:00:00
ASN000220,PLT000115,Audit toko marketplace,Tugas proyek: Audit toko marketplace. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",17,true,2024-01-18 08:00:00
ASN000221,PLT000115,Rencana optimasi listing produk,Project file-upload: Rencana optimasi listing produk. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",21,true,2024-01-22 08:00:00
ASN000222,PLT000115,Audit toko marketplace,Tugas proyek: Audit toko marketplace. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",22,true,2024-01-23 08:00:00
ASN000223,PLT000116,Pitch deck produk ekspor,"Studi kasus terapan: Pitch deck produk ekspor. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",15,true,2024-01-16 08:00:00
ASN000224,PLT000117,Mockup desain kemasan,Tugas proyek: Mockup desain kemasan. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",16,true,2024-01-17 08:00:00
ASN000225,PLT000117,Brand guideline sederhana,"Studi kasus terapan: Brand guideline sederhana. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",18,true,2024-01-19 08:00:00
ASN000226,PLT000118,SOP customer service,Tugas proyek: SOP customer service. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",19,true,2024-01-20 08:00:00
ASN000227,PLT000118,Simulasi penanganan komplain,Tugas proyek: Simulasi penanganan komplain. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",24,true,2024-01-25 08:00:00
ASN000228,PLT000118,SOP customer service,Project file-upload: SOP customer service. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",22,true,2024-01-23 08:00:00
ASN000229,PLT000119,SOP produksi harian,"Studi kasus terapan: SOP produksi harian. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",18,true,2024-01-19 08:00:00
ASN000230,PLT000120,Pitch deck UMKM,"Studi kasus terapan: Pitch deck UMKM. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Upload dokumen proyek yang menjelaskan masalah usaha, solusi yang diterapkan, output akhir, dan tautan/foto pendukung bila tersedia.",16,true,2024-01-17 08:00:00
ASN000231,PLT000120,Video pendek pitching usaha,Project file-upload: Video pendek pitching usaha. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",21,true,2024-01-22 08:00:00
ASN000232,PLT000120,Pitch deck UMKM,Project file-upload: Pitch deck UMKM. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",26,true,2024-01-27 08:00:00
ASN000233,PLT000121,Template pembukuan sederhana,"Studi kasus terapan: Template pembukuan sederhana. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",17,true,2024-01-18 08:00:00
ASN000234,PLT000121,Analisis laba rugi satu bulan,"Studi kasus terapan: Analisis laba rugi satu bulan. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",18,true,2024-01-19 08:00:00
ASN000235,PLT000121,Template pembukuan sederhana,Project file-upload: Template pembukuan sederhana. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",28,true,2024-01-29 08:00:00
ASN000236,PLT000122,Rencana konten 14 hari,Project file-upload: Rencana konten 14 hari. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",12,true,2024-01-13 08:00:00
ASN000237,PLT000122,Laporan evaluasi kampanye digital,Tugas proyek: Laporan evaluasi kampanye digital. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",19,true,2024-01-20 08:00:00
ASN000238,PLT000122,Rencana konten 14 hari,Tugas proyek: Rencana konten 14 hari. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",24,true,2024-01-25 08:00:00
ASN000239,PLT000123,Portofolio foto produk,Project file-upload: Portofolio foto produk. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Unggah file hasil proyek dalam format PDF/DOCX/XLSX/PPTX. File harus memuat identitas UMKM, kondisi awal, langkah pengerjaan, hasil akhir, dan bukti pendukung.",13,true,2024-01-14 08:00:00
ASN000240,PLT000123,Katalog digital siap unggah,Tugas proyek: Katalog digital siap unggah. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",22,true,2024-01-23 08:00:00
ASN000241,PLT000124,Checklist legalitas usaha,"Studi kasus terapan: Checklist legalitas usaha. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",19,true,2024-01-20 08:00:00
ASN000242,PLT000124,Draft dokumen administrasi,"Studi kasus terapan: Draft dokumen administrasi. Peserta menyiapkan dokumen kerja, bukti pendukung, dan rencana tindak lanjut.","Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",22,true,2024-01-23 08:00:00
ASN000243,PLT000125,Dokumen bahan dan pemasok,Project file-upload: Dokumen bahan dan pemasok. Output harus menunjukkan proses dan hasil penerapan pada UMKM peserta.,"Kumpulkan satu file utama berisi laporan praktik, dokumentasi foto/screenshot, dan refleksi singkat hasil implementasi pada usaha masing-masing.",15,true,2024-01-16 08:00:00
ASN000244,PLT000125,Draft manual halal sederhana,Tugas proyek: Draft manual halal sederhana. Peserta diminta membuat bukti praktik yang relevan dengan usaha masing-masing.,"Peserta wajib mengunggah file proyek final. Lampirkan data usaha seperlunya, contoh implementasi, dan rencana tindak lanjut setelah pelatihan.",21,true,2024-01-22 08:00:00
